,Aerospace & Aviation,Agriculture,Automobile / Autocomponents,Banking / Insurance & Finance,Beauty & Wellness Industry,Building & Construction,Building / Hardware & Home Furnishings,Chemicals & Pharmaceuticals,Commerce or Humanities Stream,Defense & Military,Designing & Art,Education / Skill Development,Electronics & Hardware,Emergency Services,Engineering & Technology,Exams and Syllabus,Food Processing,Gems & Jewellery,Handlooms & Handicrafts,Healthcare,Humanistic Studies,Information Technology / Software,Institutes in India,ITES / BPO,Law & Order,Leather & Leather Goods,Management & Marketing,Media / Entertainment & Animation,Organised Retail,Psychometric Career Test,Public Admin & Government,Real Estate,Science & Research,Sports,Study Abroad,Telecom,Textiles & Garments,Tourism / Hospitality & Travel,Transportation/Logistics/Warehousing & Packaging,some error occured
4641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sridevi Womens Engineering College Ranga Reddy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Srinivas Institute of Management Studies Mangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Srinivas Institute of Technology Mangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4644,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Srinivas School of Management Mukka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4645,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Srinivasan College of Arts and Science Perambalur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4646,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Srinivasan Engineering College Perambalur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4647,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Srinivassa Sinai Dempo College of Commerce and Economics Panjim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SRM Arts and Science College Kanchipuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SRM Business School Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SRM Degree And PG College Karim Nagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4651,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SRM University-NCR Campus Ghaziabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4652,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SRM University Ramapuram Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SRM University Vadapalani Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SRR Engineering College Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Srusti Academy of Management Bhubaneswar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SS Agrawal Institute of Management and Technology Navsari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4657,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SSD Womens Institute of Technology Bathinda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4658,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SSHC Jain Institute of Management and Research Sagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4659,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SSK Institute of Business ManagementVontimitta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SSLD Varshney Institute of Management and Engineering Aligarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4661,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SSM College of Engineering and Technology Baramulla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4662,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SSM College of Engineering Namakkal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4663,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SSN College of Engineering Kalavakkam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4664,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SSN School of Management and Computer Application Kalavakkam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4665,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Anns College for Women Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Anns PG College for Women Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Anthonys College Shillong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4668,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Bedes College Shimla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4669,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St George College of Management Science and Nursing Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4670,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Joseph Engineering College Mangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4671,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Josephs Degree and PG College Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4672,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Josephs Institute of Management Tiruchirapalli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Kabir Institute of Professional Studies Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Pauls College of Management and IT Turkayamjal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Pious X Degree PG and MBA College for Women Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4676,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Vincent De Paul Degree College Eluru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4677,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Wilfreds College for Girls Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Xaviers College Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4679,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St Xaviers PG College Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Aloysius College Autonomous Mangaluru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4681,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Anns College of Engineering and Technology Chirala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4682,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Francis College for Women Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Francis Institute of Management and Research Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4684,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Josephs College of Business Administration Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4685,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Josephs College of Engineering and Technology Tanjavur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4686,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Josephs College of Engineering Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Joseph’s College of Engineering and Technology Palai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4688,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Martins Engineering College Secunderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4689,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Marys Engineering College Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4690,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Marys Technical Campus Kolkata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4691,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Peters College of Engineering and Technology Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4692,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Peters Engineering College Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4693,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Soldier Management and Technical Institute Jalandhar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Wilfreds PG College Ajmer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Xaviers Catholic College of Engineering Kanyakumari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4696,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St. Xaviers College Kolkata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4697,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St.Josephs College Tiruchirappalli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St.Martins Institute of Business Management Dhulapally,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4699,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,St.Xaviers College Palayamkottai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stanford PG College Nalgonda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4701,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stani Memorial PG College Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stanley Stephen College of Engineering and Technology Kurnool,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4703,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sterling Institute of Management Studies Navi Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4704,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,STET School of Management Mannargudi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Subharti Institute of Management and Commerce Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4706,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Subhash Institute of Software Technology Kanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4707,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Subrabhath Institute of Management and Computer Studies Keesara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sultan-Ul-Uloom College of Business Administration Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4709,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sumandeep Vidyapeeth University Waghodia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4710,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sumourya Institute of Management Kurnool,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4711,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sunder Deep College of Management and Technology Ghaziabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4712,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sunshine Group of Institutions Rajkot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4713,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sunstone Business School Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Suprabhath PG College Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4715,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Surajmal Agarwal Pvt Kanya Mahavidyalaya Kichha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4716,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Surana College Centre for Post Graduate Studies Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Surya School of Planning and Engineering Management Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4718,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Surya World University Patiala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4719,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Suryadatta Institute of Business Management and Technology Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4720,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sushila Devi Bansal College of Engineering Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4721,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SV Institute of Management Kadi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4722,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SVK Institute of Management Nagpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4723,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Devi Dyal Institute of Management Studies Panchkula,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4724,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Keshwanand Rajasthan Agricultural University Bikaner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Ramanand Teerth Marathwada University Nanded,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4726,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Vivekanand College of Engineering Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4727,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Vivekanand Subharti University Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Vivekananda Institute of Management Thanjavur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4729,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swaraj Institute of Management Karad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swayam Siddhi College of Management and Research Thane,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4731,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Centre for Information Technology Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4732,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Centre for Management Studies Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Centre for Management Studies Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4734,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of Business Management Bengaluru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4735,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of Business Management Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4736,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of Business Management Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4737,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of Computer Studies and Research Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4738,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of Health Sciences Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4739,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of International Business Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4740,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of Management Studies Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4741,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of Media and Communication Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4742,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of Operations Management Nashik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4743,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Institute of Telecom Management Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4744,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis School of Banking and Finance Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis School of Media and Communication Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4746,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbosis Center of Distance Learning Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4747,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Synergy Institute of Management Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4748,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Synergy School of Business Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4749,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T John College Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T John Institute of Management and Science Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T John Institute of Technology Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4752,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TA Pai Management Institute Manipal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4753,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tagore Institute of Engineering and Technology Salem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4754,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Takshshila Institute of Engineering and Technology Jabalpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Talent Institute of Management Studies Malappuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4756,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tamil Nadu Open University Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4757,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tamil University Thanjavur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4758,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tamilnadu College of Engineering Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4759,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TASMAC Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tata Institute of Social Sciences Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4761,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Taxila Business School Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4762,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Techno India University Kolkata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Techno India SaltLake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4764,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Techno Institute of Management Sciences Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4765,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Technocrats Institute of Technology MBA Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4766,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Technocrats Institute of Technology Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4767,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tecnia Institute of Advanced Studies Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4768,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Teegala Krishna Reddy Engineering College Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Teerthanker Mahaveer University Moradabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tellakula Jalayya Polisetty Somasundaram College Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4771,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TERI University Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4772,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tezpur University Tezpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4773,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thakur College of Science and Commerce Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thakur Institute of Management Studies and Research Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4775,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thanthai Hans Roever College Perambalur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thapar University Patiala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4777,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The American College Madurai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
